feature,gain_importance,shap_mean_abs
band_position,0.200412,0.19157
cpu_vs_p95,0.191198,0.154394
spike_severe_in_last_6,0.093731,0.086633
machine_rank_in_cluster,0.072112,0.048675
total_cpu,0.057872,0.137716
cpu_ewma_24,0.055423,0.131894
cpu_lag_1,0.031772,0.066404
hour_cos,0.030437,0.264173
band_width,0.027658,0.195452
spike_severe_in_last_3,0.023309,0.006925
cpu_ewma_6,0.021975,0.056602
hour_sin,0.015412,0.129985
disk_io,0.015184,0.043665
cpu_vs_p99,0.014443,0.041129
time_to_p95_3,0.013804,0.014884
cpu_lag_24,0.012957,0.040219
n_tasks,0.011412,0.081607
cpu_lag_12,0.009445,0.009258
cluster_cpu_p90,0.008811,0.044677
cpu_spike_rate_24,0.008569,0.04552
peak_cpu_vs_p95,0.007378,0.008065
spike_in_last_6,0.007245,0.000279
cpu_rolling_std_6,0.006208,0.030996
peak_cpu,0.005676,0.038078
peak_mem,0.005087,0.036892
total_mem,0.005009,0.028409
cpu_vs_p95_slope_6,0.004853,0.004686
peak_cpu_vs_p99,0.004408,0.006318
cpu_delta_1,0.004275,0.023308
cpu_vs_p95_delta,0.004272,0.006995
time_since_last_spike,0.004262,0.001844
task_dominance,0.003978,0.015747
spike_severe_now,0.003702,2.9e-05
cpu_vs_p95_slope_3,0.003683,0.002269
spike_in_last_1,0.00355,0.000494
spike_severe_in_last_1,0.00316,9.3e-05
cpu_per_task,0.00281,0.001607
spike_in_last_3,0.002439,0.000151
cpu_delta_2,0.002071,0.005246
spike_now,0.0,0.0
