feature,gain_importance,shap_mean_abs
spike_now,0.185597,0.002095
cpu_vs_p95,0.12936,0.350247
time_since_last_spike,0.085595,0.044698
band_position,0.06716,0.02662
spike_in_last_6,0.054843,0.003931
time_to_p95_3,0.044312,0.025208
cpu_spike_rate_24,0.041802,0.090741
spike_severe_in_last_6,0.036387,0.011165
spike_severe_now,0.034501,0.000124
cpu_vs_p99,0.032627,0.06022
spike_in_last_3,0.031857,0.003239
hour_cos,0.021596,0.139756
total_cpu,0.018785,0.063263
hour_sin,0.016374,0.115971
band_width,0.013648,0.092961
cpu_ewma_24,0.013559,0.058416
machine_rank_in_cluster,0.013122,0.021538
n_tasks,0.012307,0.031109
spike_severe_in_last_3,0.011936,0.000625
cpu_ewma_6,0.011132,0.014693
cluster_cpu_p90,0.010342,0.038533
cpu_lag_1,0.010222,0.008501
cpu_vs_p95_slope_3,0.009611,0.022138
cpu_per_task,0.009165,0.032822
disk_io,0.009063,0.039172
cpu_vs_p95_delta,0.008453,0.021296
peak_cpu_vs_p95,0.006718,0.043533
cpu_lag_24,0.006344,0.015291
total_mem,0.006015,0.052885
spike_in_last_1,0.005574,0.000716
peak_cpu,0.005479,0.057075
peak_mem,0.005328,0.031777
peak_cpu_vs_p99,0.005193,0.023852
cpu_vs_p95_slope_6,0.004994,0.022304
spike_severe_in_last_1,0.004556,5.3e-05
cpu_rolling_std_6,0.004429,0.016304
cpu_delta_1,0.004039,0.002805
cpu_lag_12,0.003368,0.012199
task_dominance,0.002661,0.002888
cpu_delta_2,0.001946,0.006656
