feature,gain_importance,shap_mean_abs
spike_now,0.390799,0.03801
spike_in_last_6,0.106271,0.039737
time_to_p95_3,0.101253,0.165526
time_since_last_spike,0.096053,0.220493
cpu_vs_p95,0.089626,0.890589
cpu_vs_p99,0.06705,0.300382
cpu_spike_rate_24,0.035554,0.200169
band_position,0.019972,0.033072
spike_in_last_3,0.016594,0.015504
spike_in_last_1,0.01002,0.007891
cpu_vs_p95_slope_3,0.006046,0.012153
hour_cos,0.005207,0.156456
cpu_vs_p95_delta,0.00498,0.095837
hour_sin,0.004761,0.157319
peak_cpu_vs_p95,0.004636,0.200189
cluster_cpu_p90,0.004038,0.068896
total_cpu,0.003552,0.090487
cpu_vs_p95_slope_6,0.002876,0.01347
n_tasks,0.002669,0.098334
band_width,0.002644,0.106545
disk_io,0.00247,0.114384
machine_rank_in_cluster,0.002342,0.046087
cpu_lag_1,0.002133,0.031648
total_mem,0.00177,0.101769
peak_cpu_vs_p99,0.001753,0.044308
cpu_delta_1,0.001714,0.017167
cpu_rolling_std_6,0.001589,0.044853
peak_cpu,0.001493,0.124562
peak_mem,0.001473,0.054069
cpu_ewma_6,0.001295,0.02544
cpu_ewma_24,0.001294,0.03143
cpu_lag_24,0.00114,0.007991
cpu_lag_12,0.000974,0.00842
cpu_delta_2,0.000944,0.03519
task_dominance,0.000924,0.011402
cpu_per_task,0.00077,0.004918
spike_severe_now,0.00048,0.000109
spike_severe_in_last_3,0.000365,6.2e-05
spike_severe_in_last_6,0.000342,0.000107
spike_severe_in_last_1,0.000133,5e-06
