feature,gain_importance,shap_mean_abs
spike_now,0.259256,0.002171
cpu_vs_p95,0.142454,0.363827
time_since_last_spike,0.066784,0.038062
band_position,0.065913,0.02691
time_to_p95_3,0.045698,0.027687
spike_in_last_6,0.041133,0.002891
cpu_spike_rate_24,0.038605,0.098269
spike_in_last_3,0.033024,0.002414
spike_severe_in_last_6,0.030645,0.009646
cpu_vs_p99,0.028139,0.055748
total_cpu,0.021713,0.071123
hour_cos,0.021015,0.14627
hour_sin,0.015692,0.117084
band_width,0.012937,0.095899
cpu_ewma_24,0.011305,0.061093
n_tasks,0.010917,0.030487
cluster_cpu_p90,0.010857,0.03907
machine_rank_in_cluster,0.010785,0.020848
spike_severe_in_last_3,0.010345,0.000624
cpu_per_task,0.009067,0.033466
cpu_ewma_6,0.009005,0.015607
cpu_vs_p95_slope_3,0.008865,0.023168
disk_io,0.008787,0.040436
cpu_lag_1,0.007809,0.008543
cpu_vs_p95_delta,0.007801,0.020939
peak_cpu_vs_p95,0.006936,0.046101
cpu_lag_24,0.006638,0.015726
total_mem,0.006119,0.054804
peak_cpu,0.006068,0.057316
spike_severe_now,0.005715,6.7e-05
spike_in_last_1,0.005545,0.001071
peak_mem,0.005414,0.032722
cpu_vs_p95_slope_6,0.005221,0.02232
peak_cpu_vs_p99,0.005068,0.024784
cpu_rolling_std_6,0.004619,0.016379
cpu_delta_1,0.004134,0.00341
cpu_lag_12,0.003601,0.011626
task_dominance,0.002613,0.00238
cpu_delta_2,0.002085,0.00676
spike_severe_in_last_1,0.001675,3.5e-05
