feature,gain_importance,shap_mean_abs
cpu_vs_p95,0.241637,0.84809
time_since_last_spike,0.159391,0.169485
spike_in_last_6,0.138738,0.009575
cpu_spike_rate_24,0.122749,0.265409
spike_now,0.064591,0.000204
cpu_vs_p99,0.043092,0.075686
time_to_p95_3,0.041686,0.033857
spike_in_last_3,0.038192,0.009635
hour_cos,0.013642,0.196624
hour_sin,0.012821,0.1796
peak_cpu_vs_p95,0.01071,0.203851
cpu_vs_p95_delta,0.010627,0.070975
cluster_cpu_p90,0.009746,0.072113
total_cpu,0.009556,0.116831
band_width,0.00647,0.093299
n_tasks,0.006332,0.077204
total_mem,0.005674,0.120485
machine_rank_in_cluster,0.005622,0.031094
peak_cpu,0.005452,0.158841
cpu_rolling_std_6,0.0054,0.065475
disk_io,0.005236,0.078507
peak_mem,0.004599,0.056133
cpu_lag_1,0.0043,0.024836
peak_cpu_vs_p99,0.003783,0.038293
cpu_ewma_24,0.003671,0.094259
cpu_lag_24,0.003514,0.015349
cpu_ewma_6,0.003109,0.031343
cpu_delta_1,0.002602,0.012077
cpu_lag_12,0.002269,0.007629
cpu_delta_2,0.002196,0.026379
cpu_vs_p95_slope_6,0.002163,0.004102
band_position,0.001862,0.00283
spike_in_last_1,0.001856,0.000508
cpu_vs_p95_slope_3,0.001786,0.002229
task_dominance,0.001508,0.003644
cpu_per_task,0.001194,0.002044
spike_severe_in_last_6,0.001176,7.4e-05
spike_severe_in_last_1,0.00058,3e-06
spike_severe_in_last_3,0.000339,6e-06
spike_severe_now,0.000129,0.0
