feature,gain_importance,shap_mean_abs
spike_in_last_6,0.161019,0.01971
spike_now,0.133533,0.008349
time_since_last_spike,0.119893,0.10279
spike_in_last_1,0.113002,0.003952
time_to_p95_3,0.074842,0.042186
band_position,0.059951,0.04053
spike_in_last_3,0.037432,0.004881
cpu_vs_p95,0.035512,0.339573
spike_severe_now,0.029415,0.00164
cpu_spike_rate_24,0.026275,0.093979
spike_severe_in_last_1,0.023224,0.001089
cpu_vs_p99,0.021699,0.101541
hour_cos,0.017034,0.213377
spike_severe_in_last_6,0.015844,0.011644
spike_severe_in_last_3,0.009975,0.001969
hour_sin,0.009746,0.166835
cpu_ewma_24,0.008863,0.053038
cpu_vs_p95_slope_6,0.008237,0.005769
band_width,0.008083,0.102915
machine_rank_in_cluster,0.007084,0.035415
cluster_cpu_p90,0.00643,0.073269
cpu_vs_p95_delta,0.006125,0.03283
n_tasks,0.005873,0.084048
cpu_lag_1,0.005718,0.034058
cpu_vs_p95_slope_3,0.005446,0.003533
cpu_rolling_std_6,0.005171,0.035833
disk_io,0.005112,0.048845
cpu_lag_24,0.004931,0.018852
peak_cpu_vs_p95,0.004925,0.039027
cpu_ewma_6,0.004671,0.009026
total_cpu,0.004307,0.154232
peak_cpu_vs_p99,0.00322,0.022775
cpu_lag_12,0.002981,0.014914
peak_mem,0.002706,0.035756
total_mem,0.002642,0.069623
cpu_delta_1,0.002304,0.005606
peak_cpu,0.002226,0.04295
task_dominance,0.001819,0.00422
cpu_per_task,0.001498,0.000867
cpu_delta_2,0.001231,0.011124
