feature,gain_importance,shap_mean_abs
spike_now,0.240631,0.015344
spike_in_last_6,0.092223,0.013053
band_position,0.089905,0.037519
cpu_vs_p95,0.071339,0.270914
spike_severe_now,0.064111,0.001853
spike_in_last_3,0.046118,0.005416
time_since_last_spike,0.045857,0.049832
spike_severe_in_last_6,0.03504,0.006565
cpu_spike_rate_24,0.033523,0.092324
spike_in_last_1,0.032692,0.00224
spike_severe_in_last_3,0.030446,0.001409
cpu_vs_p99,0.028624,0.101212
hour_cos,0.014434,0.11718
total_cpu,0.014402,0.080653
hour_sin,0.013802,0.124715
cluster_cpu_p90,0.010577,0.048078
band_width,0.010319,0.114373
cpu_vs_p95_delta,0.00922,0.032136
peak_cpu_vs_p95,0.009107,0.09661
cpu_ewma_6,0.00845,0.049198
machine_rank_in_cluster,0.008261,0.030625
cpu_lag_1,0.008244,0.02318
peak_cpu_vs_p99,0.007156,0.045453
cpu_ewma_24,0.007031,0.077361
disk_io,0.006726,0.04695
peak_cpu,0.006524,0.093001
n_tasks,0.006501,0.026847
total_mem,0.005972,0.065371
cpu_per_task,0.005861,0.041047
cpu_rolling_std_6,0.005485,0.036527
spike_severe_in_last_1,0.00535,0.000174
peak_mem,0.005083,0.041414
cpu_lag_24,0.005028,0.017799
task_dominance,0.004871,0.010023
cpu_delta_1,0.004367,0.011093
cpu_lag_12,0.004134,0.013431
cpu_delta_2,0.002589,0.01425
