feature,gain_importance,shap_mean_abs
spike_now,0.80202,0.01108
time_to_p95_3,0.047056,0.08443
spike_in_last_6,0.02401,0.010014
cpu_vs_p95,0.020692,0.515541
band_position,0.020039,0.111607
spike_in_last_3,0.018216,0.011697
time_since_last_spike,0.014884,0.10715
cpu_spike_rate_24,0.009387,0.18498
hour_cos,0.006036,0.356139
spike_severe_in_last_6,0.003739,0.032119
hour_sin,0.003013,0.216316
cpu_ewma_24,0.002551,0.091147
machine_rank_in_cluster,0.00254,0.048914
band_width,0.002072,0.191971
n_tasks,0.002063,0.142353
cpu_vs_p99,0.00197,0.074206
total_cpu,0.001944,0.159061
cluster_cpu_p90,0.001839,0.101222
peak_cpu_vs_p95,0.001673,0.099383
disk_io,0.001521,0.069547
cpu_ewma_6,0.001405,0.013279
cpu_lag_1,0.001141,0.02295
peak_cpu_vs_p99,0.00109,0.077964
peak_cpu,0.001043,0.127664
cpu_lag_24,0.001021,0.018347
total_mem,0.000896,0.093809
cpu_vs_p95_delta,0.000871,0.041811
peak_mem,0.000754,0.041181
spike_severe_now,0.000604,0.000314
cpu_lag_12,0.000596,0.01041
cpu_vs_p95_slope_6,0.000499,0.002337
spike_severe_in_last_3,0.000493,0.000661
cpu_rolling_std_6,0.000478,0.031546
cpu_vs_p95_slope_3,0.000401,0.001244
cpu_delta_2,0.000395,0.017967
task_dominance,0.000387,0.003351
cpu_delta_1,0.000214,0.002137
spike_in_last_1,0.000204,7.8e-05
cpu_per_task,0.000199,0.000939
spike_severe_in_last_1,4.2e-05,5e-06
