feature,gain_importance,shap_mean_abs
spike_now,0.168604,0.003836
cpu_vs_p95,0.126146,0.323167
time_since_last_spike,0.08724,0.050459
spike_in_last_6,0.068787,0.005406
band_position,0.059212,0.024333
time_to_p95_3,0.046205,0.025112
cpu_spike_rate_24,0.044343,0.092124
spike_severe_in_last_6,0.041113,0.012089
cpu_vs_p99,0.039724,0.062305
spike_severe_now,0.032003,0.00028
spike_in_last_3,0.024732,0.003041
hour_cos,0.02202,0.135462
total_cpu,0.018922,0.051576
hour_sin,0.016762,0.110796
spike_severe_in_last_3,0.015828,0.000737
machine_rank_in_cluster,0.015693,0.02026
band_width,0.013633,0.090602
cpu_ewma_24,0.013514,0.051067
cpu_ewma_6,0.012315,0.013389
cpu_lag_1,0.012056,0.00774
n_tasks,0.011846,0.030663
cluster_cpu_p90,0.009882,0.03449
cpu_vs_p95_slope_3,0.009441,0.021206
disk_io,0.009398,0.036982
cpu_per_task,0.009171,0.030899
cpu_vs_p95_delta,0.008173,0.019948
peak_cpu_vs_p95,0.006727,0.038943
cpu_lag_24,0.006536,0.014298
total_mem,0.005912,0.049401
spike_in_last_1,0.005588,0.000717
peak_cpu_vs_p99,0.005532,0.023539
peak_cpu,0.005252,0.050831
peak_mem,0.00508,0.028973
cpu_vs_p95_slope_6,0.004798,0.021333
cpu_delta_1,0.004282,0.002662
cpu_rolling_std_6,0.004181,0.014736
cpu_lag_12,0.003361,0.010757
task_dominance,0.002762,0.00277
cpu_delta_2,0.001816,0.005274
spike_severe_in_last_1,0.001409,2e-05
