feature,gain_importance,shap_mean_abs
spike_now,0.521479,0.048096
time_to_p95_3,0.088441,0.177901
time_since_last_spike,0.083902,0.231329
spike_in_last_6,0.071844,0.036965
cpu_vs_p95,0.070067,0.896413
cpu_vs_p99,0.053386,0.319284
cpu_spike_rate_24,0.027742,0.195572
spike_in_last_3,0.019362,0.017553
spike_in_last_1,0.005307,0.008365
cpu_vs_p95_slope_3,0.00528,0.01491
band_position,0.004277,0.016576
hour_cos,0.004131,0.158195
hour_sin,0.003773,0.16548
cpu_vs_p95_delta,0.003692,0.094454
peak_cpu_vs_p95,0.00368,0.205757
cluster_cpu_p90,0.003448,0.072597
total_cpu,0.002733,0.108219
cpu_vs_p95_slope_6,0.002559,0.014596
band_width,0.002155,0.108764
n_tasks,0.002088,0.099368
disk_io,0.001973,0.119705
machine_rank_in_cluster,0.001953,0.049075
cpu_lag_1,0.001742,0.038463
total_mem,0.001454,0.105471
peak_cpu_vs_p99,0.001404,0.041918
cpu_delta_1,0.001357,0.018412
cpu_rolling_std_6,0.001264,0.045913
peak_cpu,0.001214,0.130856
peak_mem,0.001184,0.056625
cpu_ewma_6,0.001077,0.030724
cpu_ewma_24,0.001007,0.04108
cpu_lag_24,0.00094,0.009767
cpu_lag_12,0.000835,0.010084
cpu_delta_2,0.000824,0.040179
task_dominance,0.000735,0.011332
cpu_per_task,0.000461,0.005647
spike_severe_now,0.000372,4.3e-05
spike_severe_in_last_3,0.00036,7.9e-05
spike_severe_in_last_6,0.000349,0.000173
spike_severe_in_last_1,0.000147,1e-05
