feature,gain_importance,shap_mean_abs
spike_now,0.37731,0.015254
spike_in_last_6,0.126517,0.028487
cpu_vs_p95,0.113919,0.857556
time_since_last_spike,0.095958,0.187847
time_to_p95_3,0.068372,0.075616
cpu_vs_p99,0.06689,0.183987
cpu_spike_rate_24,0.062952,0.235319
spike_in_last_3,0.010433,0.006606
hour_cos,0.007156,0.177708
hour_sin,0.006812,0.170376
cpu_vs_p95_delta,0.005761,0.078575
peak_cpu_vs_p95,0.005468,0.208958
cluster_cpu_p90,0.005178,0.107991
total_cpu,0.004268,0.123142
band_width,0.003422,0.099255
machine_rank_in_cluster,0.002988,0.040111
n_tasks,0.002921,0.078749
disk_io,0.002732,0.091826
total_mem,0.002645,0.123452
cpu_lag_1,0.002418,0.03157
peak_cpu,0.002335,0.156082
cpu_rolling_std_6,0.002323,0.057487
peak_mem,0.002181,0.065082
peak_cpu_vs_p99,0.002043,0.045093
spike_in_last_1,0.001972,0.001448
cpu_ewma_24,0.001645,0.092178
cpu_lag_24,0.001518,0.015136
cpu_delta_1,0.001511,0.012899
cpu_ewma_6,0.001445,0.030839
cpu_vs_p95_slope_3,0.00142,0.004369
band_position,0.001309,0.004283
cpu_delta_2,0.001177,0.031911
cpu_lag_12,0.001174,0.011605
cpu_vs_p95_slope_6,0.000987,0.0046
task_dominance,0.00082,0.006655
cpu_per_task,0.000735,0.003835
spike_severe_in_last_6,0.000636,8.7e-05
spike_severe_now,0.000397,1.8e-05
spike_severe_in_last_3,0.000213,6e-06
spike_severe_in_last_1,3.7e-05,1e-06
