feature,gain_importance,shap_mean_abs
spike_now,0.701263,0.021935
time_to_p95_3,0.066192,0.094952
spike_in_last_1,0.047546,0.0023
spike_in_last_6,0.043749,0.021352
time_since_last_spike,0.032693,0.123074
cpu_vs_p95,0.022846,0.524524
band_position,0.020451,0.100525
cpu_spike_rate_24,0.010047,0.170607
hour_cos,0.006319,0.353685
spike_severe_in_last_6,0.005047,0.031228
spike_in_last_3,0.004839,0.006054
hour_sin,0.003577,0.235775
cpu_ewma_24,0.002707,0.101141
total_cpu,0.002572,0.203232
cpu_vs_p99,0.002478,0.104702
n_tasks,0.002466,0.15099
machine_rank_in_cluster,0.002318,0.048
band_width,0.002232,0.202984
cluster_cpu_p90,0.00219,0.090841
peak_cpu_vs_p95,0.00179,0.103236
disk_io,0.001643,0.075866
spike_severe_now,0.001404,0.000471
cpu_ewma_6,0.001395,0.016811
peak_cpu_vs_p99,0.001199,0.10631
cpu_lag_1,0.001151,0.028328
cpu_lag_24,0.001147,0.018749
cpu_vs_p95_delta,0.001142,0.044671
peak_cpu,0.001043,0.155919
total_mem,0.000964,0.103818
spike_severe_in_last_3,0.000859,0.001234
peak_mem,0.000846,0.052982
cpu_vs_p95_slope_6,0.000809,0.002874
cpu_lag_12,0.000747,0.016802
cpu_rolling_std_6,0.000563,0.039227
task_dominance,0.00046,0.003891
cpu_delta_2,0.00042,0.023199
cpu_vs_p95_slope_3,0.000299,0.001568
cpu_delta_1,0.000259,0.004509
cpu_per_task,0.000252,0.000849
spike_severe_in_last_1,7.5e-05,2.4e-05
