machine_id,bucket,time_us,total_cpu,peak_cpu,total_mem,peak_mem,disk_io,n_tasks
1,5785632,1735689600000000,0.075485,0.134078,0.325927,0.348376,0.0,3
1,5785633,1735689900000000,0.05128,0.086487,0.309109,0.324524,0.0,4
1,5785634,1735690200000000,0.083508,0.127756,0.325091,0.335919,0.0,2
1,5785635,1735690500000000,0.08693,0.139258,0.329306,0.350183,0.0,1
1,5785636,1735690800000000,0.034881,0.112467,0.321231,0.333821,0.0,0
1,5785637,1735691100000000,0.046561,0.125327,0.354202,0.376766,0.0,3
1,5785638,1735691400000000,0.072301,0.095359,0.280861,0.307927,0.0,2
1,5785639,1735691700000000,0.064308,0.123008,0.275629,0.278272,0.0,2
1,5785640,1735692000000000,0.069698,0.129696,0.280661,0.280704,0.0,3
1,5785641,1735692300000000,0.054645,0.082365,0.330682,0.339174,0.0,5
1,5785642,1735692600000000,0.085829,0.095739,0.379838,0.415619,0.0,1
1,5785643,1735692900000000,0.084,0.087276,0.312147,0.337998,0.0,4
1,5785644,1735693200000000,0.071189,0.133376,0.224848,0.231726,0.0,4
1,5785645,1735693500000000,0.09029,0.129466,0.263442,0.299052,0.0,6
1,5785646,1735693800000000,0.078415,0.157258,0.294124,0.312922,0.0,2
1,5785647,1735694100000000,0.054533,0.091731,0.296777,0.315821,0.0,3
1,5785648,1735694400000000,0.076638,0.154871,0.310488,0.347909,0.0,2
1,5785649,1735694700000000,0.05274,0.085666,0.320002,0.322382,0.0,1
1,5785650,1735695000000000,0.085812,0.149307,0.317564,0.326172,0.0,3
1,5785651,1735695300000000,0.069101,0.075887,0.366159,0.38959,0.0,1
1,5785652,1735695600000000,0.066672,0.111109,0.296295,0.304114,0.0,1
1,5785653,1735695900000000,0.057743,0.121908,0.285717,0.312899,0.0,2
1,5785654,1735696200000000,0.092006,0.165982,0.351357,0.359921,0.0,0
1,5785655,1735696500000000,0.067218,0.133025,0.262101,0.266067,0.0,1
1,5785656,1735696800000000,0.06229,0.065248,0.337389,0.345669,0.0,2
1,5785657,1735697100000000,0.063662,0.093478,0.326384,0.343293,0.0,2
1,5785658,1735697400000000,0.079582,0.083477,0.321956,0.329001,0.0,2
1,5785659,1735697700000000,0.076578,0.085321,0.390333,0.395721,0.0,3
1,5785660,1735698000000000,0.077429,0.131454,0.302212,0.336623,0.0,3
1,5785661,1735698300000000,0.077755,0.134815,0.409626,0.422442,0.0,3
1,5785662,1735698600000000,0.10855,0.170447,0.328975,0.343405,0.0,2
1,5785663,1735698900000000,0.062685,0.131921,0.270859,0.27307,0.0,2
1,5785664,1735699200000000,0.06078,0.119934,0.32407,0.338364,0.0,5
1,5785665,1735699500000000,0.055352,0.119422,0.276323,0.286916,0.0,1
1,5785666,1735699800000000,0.081088,0.085005,0.29831,0.32273,0.0,2
1,5785667,1735700100000000,0.090322,0.109084,0.347494,0.355709,0.0,2
1,5785668,1735700400000000,0.067949,0.117701,0.346005,0.38154,0.0,3
1,5785669,1735700700000000,0.054877,0.123527,0.29432,0.331507,0.0,1
1,5785670,1735701000000000,0.055159,0.055519,0.358802,0.362795,0.0,2
1,5785671,1735701300000000,0.081711,0.122881,0.374899,0.379195,0.0,5
1,5785672,1735701600000000,0.083379,0.137562,0.386635,0.391248,0.0,4
1,5785673,1735701900000000,0.079777,0.082145,0.349098,0.373881,0.0,2
1,5785674,1735702200000000,0.058021,0.090129,0.374844,0.379723,0.0,4
1,5785675,1735702500000000,0.074179,0.14583,0.250731,0.284826,0.0,3
1,5785676,1735702800000000,0.0721,0.125829,0.312519,0.34269,0.0,3
1,5785677,1735703100000000,0.073936,0.092949,0.291198,0.32399,0.0,2
1,5785678,1735703400000000,0.085686,0.153908,0.334759,0.355801,0.0,4
1,5785679,1735703700000000,0.074025,0.101867,0.303051,0.342918,0.0,3
1,5785680,1735704000000000,0.08222,0.150488,0.322131,0.323898,0.0,2
1,5785681,1735704300000000,0.071216,0.095132,0.400213,0.416263,0.0,3
1,5785682,1735704600000000,0.075204,0.12243,0.319533,0.33249,0.0,6
1,5785683,1735704900000000,0.081363,0.113118,0.345029,0.382975,0.0,2
1,5785684,1735705200000000,0.043771,0.065757,0.306029,0.329104,0.0,2
1,5785685,1735705500000000,0.064246,0.135171,0.325515,0.357762,0.0,1
1,5785686,1735705800000000,0.061533,0.076541,0.321777,0.328591,0.0,3
1,5785687,1735706100000000,0.0585,0.065285,0.338408,0.377553,0.0,0
1,5785688,1735706400000000,0.065047,0.092402,0.369379,0.389324,0.0,3
1,5785689,1735706700000000,0.096909,0.15432,0.399814,0.419561,0.0,0
1,5785690,1735707000000000,0.054415,0.11901,0.33143,0.370265,0.0,2
1,5785691,1735707300000000,0.087429,0.167328,0.354182,0.369411,0.0,4
1,5785692,1735707600000000,0.039708,0.063417,0.267863,0.283764,0.0,2
1,5785693,1735707900000000,0.063972,0.096607,0.318875,0.342265,0.0,1
1,5785694,1735708200000000,0.07293,0.083875,0.363137,0.368259,0.0,1
1,5785695,1735708500000000,0.080552,0.126542,0.362832,0.375675,0.0,4
1,5785696,1735708800000000,0.082802,0.162608,0.337445,0.345173,0.0,2
1,5785697,1735709100000000,0.08428,0.140351,0.364954,0.369085,0.0,2
1,5785698,1735709400000000,0.063723,0.11134,0.341934,0.37658,0.0,2
1,5785699,1735709700000000,0.061678,0.093067,0.369599,0.393173,0.0,3
1,5785700,1735710000000000,0.085444,0.158667,0.34148,0.355827,0.0,2
1,5785701,1735710300000000,0.066557,0.10631,0.309067,0.325414,0.0,0
1,5785702,1735710600000000,0.047038,0.057787,0.329897,0.347158,0.0,3
1,5785703,1735710900000000,0.049601,0.078831,0.200137,0.225463,0.0,4
1,5785704,1735711200000000,0.05345,0.058823,0.334023,0.371094,0.0,3
1,5785705,1735711500000000,0.078949,0.095107,0.181696,0.219007,0.0,4
1,5785706,1735711800000000,0.072564,0.073977,0.256459,0.272118,0.0,1
1,5785707,1735712100000000,0.082429,0.118691,0.346921,0.360091,0.0,1
1,5785708,1735712400000000,0.062309,0.113073,0.340909,0.358951,0.0,2
1,5785709,1735712700000000,0.072854,0.100317,0.279002,0.301719,0.0,2
1,5785710,1735713000000000,0.081261,0.114891,0.299957,0.31843,0.0,4
1,5785711,1735713300000000,0.064432,0.141169,0.377373,0.403723,0.0,2
1,5785712,1735713600000000,0.078222,0.138379,0.308017,0.330192,0.0,0
1,5785713,1735713900000000,0.058085,0.101354,0.410047,0.422875,0.0,1
1,5785714,1735714200000000,0.347751,0.370514,0.421636,0.435465,0.013031,5
1,5785715,1735714500000000,0.347415,0.419174,0.437917,0.45306,0.014909,5
1,5785716,1735714800000000,0.048475,0.067283,0.381641,0.385427,0.0,1
1,5785717,1735715100000000,0.078766,0.104793,0.332809,0.339452,0.0,1
1,5785718,1735715400000000,0.061551,0.134276,0.281449,0.310374,0.0,2
1,5785719,1735715700000000,0.070225,0.112588,0.32019,0.335754,0.0,1
1,5785720,1735716000000000,0.078653,0.138039,0.326104,0.334686,0.0,1
1,5785721,1735716300000000,0.078038,0.125297,0.272723,0.29523,0.0,1
1,5785722,1735716600000000,0.081977,0.134252,0.318459,0.34868,0.0,2
1,5785723,1735716900000000,0.068227,0.092178,0.294192,0.304489,0.0,1
1,5785724,1735717200000000,0.062381,0.08169,0.358808,0.391879,0.0,0
1,5785725,1735717500000000,0.068565,0.094364,0.325382,0.362482,0.0,4
1,5785726,1735717800000000,0.039628,0.052063,0.302558,0.326454,0.0,3
1,5785727,1735718100000000,0.043952,0.113897,0.311136,0.337894,0.0,5
1,5785728,1735718400000000,0.046191,0.068851,0.325092,0.327195,0.0,1
1,5785729,1735718700000000,0.05205,0.096969,0.34289,0.380711,0.0,2
1,5785730,1735719000000000,0.077196,0.140554,0.28703,0.302729,0.0,1
1,5785731,1735719300000000,0.053701,0.116407,0.277132,0.314088,0.0,4
1,5785732,1735719600000000,0.063193,0.098264,0.366305,0.389464,0.0,2
1,5785733,1735719900000000,0.093386,0.131487,0.316192,0.316376,0.0,2
1,5785734,1735720200000000,0.063587,0.143163,0.265582,0.267124,0.0,3
1,5785735,1735720500000000,0.083275,0.137243,0.346899,0.374116,0.0,2
1,5785736,1735720800000000,0.053195,0.118366,0.337153,0.35966,0.0,2
1,5785737,1735721100000000,0.066302,0.138506,0.261977,0.263038,0.0,1
1,5785738,1735721400000000,0.0529,0.115907,0.327694,0.357433,0.0,3
1,5785739,1735721700000000,0.063897,0.078712,0.351787,0.385873,0.0,4
1,5785740,1735722000000000,0.085126,0.130099,0.344769,0.364626,0.0,2
1,5785741,1735722300000000,0.253557,0.261709,0.414024,0.432655,0.038716,3
1,5785742,1735722600000000,0.292469,0.344703,0.346193,0.346412,0.014725,3
1,5785743,1735722900000000,0.288928,0.365356,0.414367,0.445833,0.037029,3
1,5785744,1735723200000000,0.059305,0.100324,0.308652,0.321881,0.0,1
1,5785745,1735723500000000,0.043971,0.078609,0.296078,0.331229,0.0,3
1,5785746,1735723800000000,0.071298,0.074166,0.359777,0.374699,0.0,3
1,5785747,1735724100000000,0.060469,0.137251,0.380335,0.402938,0.0,2
1,5785748,1735724400000000,0.074188,0.082428,0.397741,0.408554,0.0,3
1,5785749,1735724700000000,0.070393,0.07368,0.37723,0.383654,0.0,3
1,5785750,1735725000000000,0.098832,0.118517,0.330202,0.361198,0.0,2
1,5785751,1735725300000000,0.065692,0.070934,0.337101,0.356964,0.0,2
1,5785752,1735725600000000,0.051577,0.087986,0.348725,0.370184,0.0,1
1,5785753,1735725900000000,0.073227,0.114514,0.330477,0.369093,0.0,0
1,5785754,1735726200000000,0.07396,0.098966,0.331117,0.36966,0.0,3
1,5785755,1735726500000000,0.094465,0.098542,0.366013,0.400239,0.0,4
